question_id,prompt,correct_answer,distractor,correct
1,"Q: Which word rhymes with the word ""declare"", ""beer"" or ""wear""?
A:",wear,beer,0.0
2,"Q: Which word rhymes with the word ""together"", ""leather"" or ""neighbor""?
A:",leather,neighbor,0.05
3,"Q: Which word rhymes with the word ""pop"", ""midnight"" or ""crop""?
A:",crop,midnight,0.5
4,"Q: Which word rhymes with the word ""session"", ""skin"" or ""profession""?
A:",profession,skin,0.35
5,"Q: Which word rhymes with the word ""might"", ""write"" or ""swimsuit""?
A:",write,swimsuit,0.2
6,"Q: Which word rhymes with the word ""sort"", ""arrest"" or ""support""?
A:",support,arrest,0.55
7,"Q: Which word rhymes with the word ""jar"", ""broken"" or ""star""?
A:",star,broken,0.75
8,"Q: Which word rhymes with the word ""main"", ""brain"" or ""crossing""?
A:",brain,crossing,0.9
9,"Q: Which word rhymes with the word ""agree"", ""me"" or ""attractive""?
A:",me,attractive,0.7
10,"Q: Which word rhymes with the word ""questionnaire"", ""compare"" or ""ceremony""?
A:",compare,ceremony,0.85
11,"Q: Which word rhymes with the word ""support"", ""short"" or ""knife""?
A:",short,knife,0.35
12,"Q: Which word rhymes with the word ""worst"", ""here"" or ""first""?
A:",first,here,0.2
13,"Q: Which word rhymes with the word ""cigarette"", ""set"" or ""brush""?
A:",set,brush,0.65
14,"Q: Which word rhymes with the word ""nearly"", ""clearly"" or ""fan""?
A:",clearly,fan,0.0
15,"Q: Which word rhymes with the word ""stripe"", ""type"" or ""sensible""?
A:",type,sensible,0.2
16,"Q: Which word rhymes with the word ""vote"", ""note"" or ""only""?
A:",note,only,0.45
17,"Q: Which word rhymes with the word ""piece"", ""ladder"" or ""peace""?
A:",peace,ladder,0.05
18,"Q: Which word rhymes with the word ""punctuation"", ""correct"" or ""population""?
A:",population,correct,0.35
19,"Q: Which word rhymes with the word ""each"", ""speech"" or ""ahead""?
A:",speech,ahead,0.25
20,"Q: Which word rhymes with the word ""sheep"", ""steep"" or ""pear""?
A:",steep,pear,0.2
21,"Q: Which word rhymes with the word ""metal"", ""kettle"" or ""sense""?
A:",kettle,sense,0.65
22,"Q: Which word rhymes with the word ""attend"", ""trend"" or ""bone""?
A:",trend,bone,0.2
23,"Q: Which word rhymes with the word ""disagree"", ""degree"" or ""prince""?
A:",degree,prince,0.8
24,"Q: Which word rhymes with the word ""stranger"", ""switch"" or ""danger""?
A:",danger,switch,0.1
25,"Q: Which word rhymes with the word ""taste"", ""stove"" or ""waste""?
A:",waste,stove,0.15
26,"Q: Which word rhymes with the word ""jam"", ""drama"" or ""tram""?
A:",tram,drama,0.7
27,"Q: Which word rhymes with the word ""sun"", ""president"" or ""run""?
A:",run,president,0.0
28,"Q: Which word rhymes with the word ""sweater"", ""letter"" or ""disgusting""?
A:",letter,disgusting,0.45
29,"Q: Which word rhymes with the word ""deck"", ""check"" or ""professional""?
A:",check,professional,0.6
30,"Q: Which word rhymes with the word ""plain"", ""cabin"" or ""train""?
A:",train,cabin,0.35
31,"Q: Which word rhymes with the word ""sound"", ""surround"" or ""useless""?
A:",surround,useless,0.0
32,"Q: Which word rhymes with the word ""rebuild"", ""grilled"" or ""snowboard""?
A:",grilled,snowboard,0.4
33,"Q: Which word rhymes with the word ""grade"", ""persuade"" or ""mango""?
A:",persuade,mango,0.0
34,"Q: Which word rhymes with the word ""examination"", ""population"" or ""river""?
A:",population,river,1.0
35,"Q: Which word rhymes with the word ""stick"", ""quick"" or ""supper""?
A:",quick,supper,0.3
36,"Q: Which word rhymes with the word ""fee"", ""me"" or ""let""?
A:",me,let,0.95
37,"Q: Which word rhymes with the word ""cold"", ""gold"" or ""clown""?
A:",gold,clown,0.4
38,"Q: Which word rhymes with the word ""dish"", ""example"" or ""fish""?
A:",fish,example,0.25
39,"Q: Which word rhymes with the word ""kettle"", ""metal"" or ""throw""?
A:",metal,throw,1.0
40,"Q: Which word rhymes with the word ""upstairs"", ""downstairs"" or ""perfume""?
A:",downstairs,perfume,0.55
41,"Q: Which word rhymes with the word ""start"", ""these"" or ""depart""?
A:",depart,these,0.5
42,"Q: Which word rhymes with the word ""control"", ""hole"" or ""weigh""?
A:",hole,weigh,0.0
43,"Q: Which word rhymes with the word ""crew"", ""college"" or ""through""?
A:",through,college,0.3
44,"Q: Which word rhymes with the word ""conversation"", ""spider"" or ""station""?
A:",station,spider,0.05
45,"Q: Which word rhymes with the word ""fork"", ""pork"" or ""ordinary""?
A:",pork,ordinary,0.05
46,"Q: Which word rhymes with the word ""kind"", ""blind"" or ""first""?
A:",blind,first,0.2
47,"Q: Which word rhymes with the word ""daughter"", ""water"" or ""wall""?
A:",water,wall,0.95
48,"Q: Which word rhymes with the word ""speed"", ""indeed"" or ""dusty""?
A:",indeed,dusty,0.45
49,"Q: Which word rhymes with the word ""inform"", ""boiled"" or ""storm""?
A:",storm,boiled,0.55
50,"Q: Which word rhymes with the word ""out"", ""silver"" or ""doubt""?
A:",doubt,silver,0.0
51,"Q: Which word rhymes with the word ""diet"", ""quiet"" or ""limit""?
A:",quiet,limit,0.9
52,"Q: Which word rhymes with the word ""steak"", ""awake"" or ""area""?
A:",awake,area,0.1
53,"Q: Which word rhymes with the word ""southwest"", ""breast"" or ""cola""?
A:",breast,cola,0.7
54,"Q: Which word rhymes with the word ""switch"", ""rich"" or ""windshield""?
A:",rich,windshield,0.6
55,"Q: Which word rhymes with the word ""stain"", ""gain"" or ""account""?
A:",gain,account,0.9
56,"Q: Which word rhymes with the word ""pork"", ""fork"" or ""how""?
A:",fork,how,1.0
57,"Q: Which word rhymes with the word ""fight"", ""stand"" or ""flight""?
A:",flight,stand,0.7
58,"Q: Which word rhymes with the word ""successful"", ""lady"" or ""stressful""?
A:",stressful,lady,0.2
59,"Q: Which word rhymes with the word ""home"", ""involve"" or ""comb""?
A:",comb,involve,0.75
60,"Q: Which word rhymes with the word ""reservation"", ""presentation"" or ""girl""?
A:",presentation,girl,0.7
61,"Q: Which word rhymes with the word ""trust"", ""dust"" or ""she""?
A:",dust,she,0.15
62,"Q: Which word rhymes with the word ""teach"", ""peach"" or ""lucky""?
A:",peach,lucky,0.45
63,"Q: Which word rhymes with the word ""professor"", ""mark"" or ""dresser""?
A:",dresser,mark,0.05
64,"Q: Which word rhymes with the word ""whole"", ""goal"" or ""pen""?
A:",goal,pen,0.3
65,"Q: Which word rhymes with the word ""sweet"", ""tasty"" or ""complete""?
A:",complete,tasty,0.1
66,"Q: Which word rhymes with the word ""juice"", ""little"" or ""reduce""?
A:",reduce,little,0.15
67,"Q: Which word rhymes with the word ""anymore"", ""study"" or ""store""?
A:",store,study,0.3
68,"Q: Which word rhymes with the word ""flood"", ""blood"" or ""comedy""?
A:",blood,comedy,1.0
69,"Q: Which word rhymes with the word ""slow"", ""ago"" or ""together""?
A:",ago,together,0.45
70,"Q: Which word rhymes with the word ""transportation"", ""imagination"" or ""miss""?
A:",imagination,miss,0.3
71,"Q: Which word rhymes with the word ""week"", ""baseball"" or ""antique""?
A:",antique,baseball,0.15
