question_id,perturbation_id,prompt,correct_answer
0,89,"Determine if the argument presented in """"Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."""" is deductively valid or invalid, based on the explicitly stated premises. Choose from the options: valid or invalid.",invalid
0,71,"Given the ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."", determine whether the argument is deductively valid or invalid. Select either ""valid"" or ""invalid"" as your answer.",invalid
0,49,"Q: ""Is the argument, given the explicitly stated premises, deductively valid or invalid based on the above information: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""?""
Options:
- valid
- invalid
A:",invalid
0,62,"Evaluate the deductive validity of the argument presented in """"Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."""". Choose between the options ""valid"" or ""invalid"".",invalid
0,163,"Given a set of explicitly stated premises, determine whether the argument is deductively valid or a formal fallacy. Respond with ""valid"" or ""invalid"".
Premises and conclusion: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,90,"Given the explicitly stated premises in """"Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."""", decide if the argument is deductively valid or invalid. Select one of the following options: valid or invalid.",invalid
0,105,"Determine whether the argument provided in """"Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."""" is deductively valid or invalid, based on the explicitly stated premises. Select from the options: valid or invalid.",invalid
0,151,"Given a set of explicitly stated premises, determine whether the argument is deductively valid or invalid. Choose ""valid"" if the conclusion necessarily follows from the premises, and ""invalid"" if it does not.
Premises and conclusion: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,118,"Classify the deductively valid arguments from formal fallacies based on explicitly stated premises. Given an argument with explicitly stated premises, determine whether it is valid or invalid. Provide your reasoning for your classification. 
Premises and conclusion: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,57,"Decide whether the argument, based on the explicitly stated premises in the statement """"Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."""", is deductively valid or invalid. You can choose from the following options: valid or invalid.",invalid
0,132,"Determine if the provided argument is deductively valid or not. The argument is given in the form of premises, and the model must classify it as either valid or invalid.
Input: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,58,"Determine whether the argument, given the explicitly stated premises, is deductively valid or invalid. The argument is presented as """"Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."""". Choose one of the following options: valid or invalid.",invalid
0,100,"Based on the explicitly stated premises in ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."", is the argument deductively valid or invalid? Please select either ""valid"" or ""invalid"".",invalid
0,7,"Q: ""Please classify the argument as ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."". Is it deductively valid or invalid, given the explicitly stated premises?""
Options:
- valid
- invalid",invalid
0,134,"Determine whether the following argument is deductively valid or a formal fallacy. The argument is presented as a question with the placeholder ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra."". Choose between two options: valid or invalid.
Question: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,140,"Determine whether the given argument is deductively valid or invalid. If the argument is deductively valid, return ""Valid"". Otherwise, return ""Invalid"". Remember to base your evaluation solely on the explicitly stated premises.
Argument: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,67,"Your task is to determine whether the argument given in the input is valid or invalid, based on the explicitly stated premises. Input: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""",invalid
0,117,"Classify the deductively valid arguments from formal fallacies based on explicitly stated premises. Given a set of premises and a conclusion, determine whether the argument is valid or invalid. Provide your reasoning for your classification. 
Input: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,130,"Determine whether the argument, given the explicitly stated premises, is deductively valid or invalid. Provide your answer as either ""valid"" or ""invalid"".
Premises and conclusion: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
0,121,"Determine whether the argument is valid or invalid based on the explicitly stated premises. Select ""valid"" if the conclusion necessarily follows from the premises, and ""invalid"" if the conclusion does not necessarily follow from the premises.
Premises and conclusion: ""Here comes a perfectly valid argument: First of all, whoever is a schoolmate of Sondra is not a stepsister of Pricilla. In consequence, whoever is not a stepsister of Pricilla is a schoolmate of Sondra.""
Output:",invalid
1,170,"Classify the given argument as either valid or invalid. The argument is provided as input in the form of premises, and your task is to determine if the argument is deductively valid or not.
Premises and conclusion: ""Here comes a perfectly valid argument: First, being a cousin of Chris is sufficient for not being a son of Kermit. We may conclude that whoever is not a son of Kermit is a cousin of Chris.""
Output:",invalid
1,10,"Distinguish whether the argument presented for the explicitly stated premises regarding ""Here comes a perfectly valid argument: First, being a cousin of Chris is sufficient for not being a son of Kermit. We may conclude that whoever is not a son of Kermit is a cousin of Chris."" is a formal fallacy or deductively valid argument. Is it valid or invalid?",invalid
1,134,"Determine whether the following argument is deductively valid or a formal fallacy. The argument is presented as a question with the placeholder ""Here comes a perfectly valid argument: First, being a cousin of Chris is sufficient for not being a son of Kermit. We may conclude that whoever is not a son of Kermit is a cousin of Chris."". Choose between two options: valid or invalid.
Question: ""Here comes a perfectly valid argument: First, being a cousin of Chris is sufficient for not being a son of Kermit. We may conclude that whoever is not a son of Kermit is a cousin of Chris.""
Output:",invalid
1,95,"Based on the explicitly stated premises in """"Here comes a perfectly valid argument: First, being a cousin of Chris is sufficient for not being a son of Kermit. We may conclude that whoever is not a son of Kermit is a cousin of Chris."""", determine if the argument is valid or invalid.",invalid
