question_id,prompt,correct_answer,distractor,correct
1,"Q: Which word has more letters, ""no"" or ""chat""?
A:",chat,no,0.8
2,"Q: Which word has more letters, ""fit"" or ""rice""?
A:",rice,fit,0.6
3,"Q: Which word has more letters, ""fact"" or ""polite""?
A:",polite,fact,0.75
4,"Q: Which word has more letters, ""reason"" or ""like""?
A:",reason,like,1.0
5,"Q: Which word has more letters, ""roast"" or ""want""?
A:",roast,want,0.8
6,"Q: Which word has more letters, ""each"" or ""uniform""?
A:",uniform,each,0.95
7,"Q: Which word has more letters, ""steal"" or ""mistake""?
A:",mistake,steal,0.6
8,"Q: Which word has more letters, ""cola"" or ""night""?
A:",night,cola,0.9
9,"Q: Which word has more letters, ""side"" or ""guest""?
A:",guest,side,0.95
10,"Q: Which word has more letters, ""mix"" or ""group""?
A:",group,mix,0.85
11,"Q: Which word has more letters, ""stadium"" or ""trip""?
A:",stadium,trip,0.95
12,"Q: Which word has more letters, ""yet"" or ""dish""?
A:",dish,yet,0.6
13,"Q: Which word has more letters, ""about"" or ""face""?
A:",about,face,0.9
14,"Q: Which word has more letters, ""table"" or ""cow""?
A:",table,cow,1.0
15,"Q: Which word has more letters, ""neighbor"" or ""details""?
A:",neighbor,details,0.95
16,"Q: Which word has more letters, ""policeman"" or ""war""?
A:",policeman,war,1.0
17,"Q: Which word has more letters, ""question"" or ""ham""?
A:",question,ham,1.0
18,"Q: Which word has more letters, ""bed"" or ""chain""?
A:",chain,bed,1.0
19,"Q: Which word has more letters, ""by"" or ""skirt""?
A:",skirt,by,1.0
20,"Q: Which word has more letters, ""final"" or ""wash""?
A:",final,wash,0.9
21,"Q: Which word has more letters, ""who"" or ""home""?
A:",home,who,1.0
22,"Q: Which word has more letters, ""those"" or ""shoe""?
A:",those,shoe,0.2
23,"Q: Which word has more letters, ""reading"" or ""much""?
A:",reading,much,0.8
24,"Q: Which word has more letters, ""towel"" or ""tire""?
A:",towel,tire,1.0
25,"Q: Which word has more letters, ""thank"" or ""cat""?
A:",thank,cat,1.0
26,"Q: Which word has more letters, ""fun"" or ""side""?
A:",side,fun,0.75
27,"Q: Which word has more letters, ""want"" or ""model""?
A:",model,want,0.9
28,"Q: Which word has more letters, ""family"" or ""golf""?
A:",family,golf,1.0
29,"Q: Which word has more letters, ""box"" or ""place""?
A:",place,box,0.6
30,"Q: Which word has more letters, ""flight"" or ""fashion""?
A:",fashion,flight,0.95
31,"Q: Which word has more letters, ""flight"" or ""cup""?
A:",flight,cup,1.0
32,"Q: Which word has more letters, ""bother"" or ""one""?
A:",bother,one,0.9
33,"Q: Which word has more letters, ""finger"" or ""soap""?
A:",finger,soap,0.15
34,"Q: Which word has more letters, ""stomach"" or ""face""?
A:",stomach,face,1.0
35,"Q: Which word has more letters, ""think"" or ""try""?
A:",think,try,0.55
36,"Q: Which word has more letters, ""fresh"" or ""suit""?
A:",fresh,suit,0.75
37,"Q: Which word has more letters, ""delay"" or ""company""?
A:",company,delay,1.0
38,"Q: Which word has more letters, ""teach"" or ""guy""?
A:",teach,guy,1.0
39,"Q: Which word has more letters, ""with"" or ""about""?
A:",about,with,0.9
40,"Q: Which word has more letters, ""explain"" or ""oil""?
A:",explain,oil,1.0
41,"Q: Which word has more letters, ""boring"" or ""cover""?
A:",boring,cover,0.5
42,"Q: Which word has more letters, ""water"" or ""very""?
A:",water,very,0.75
43,"Q: Which word has more letters, ""instead"" or ""father""?
A:",instead,father,1.0
44,"Q: Which word has more letters, ""tea"" or ""find""?
A:",find,tea,1.0
45,"Q: Which word has more letters, ""sun"" or ""pack""?
A:",pack,sun,1.0
46,"Q: Which word has more letters, ""about"" or ""father""?
A:",father,about,0.75
47,"Q: Which word has more letters, ""pilot"" or ""camp""?
A:",pilot,camp,0.8
48,"Q: Which word has more letters, ""sun"" or ""page""?
A:",page,sun,0.8
49,"Q: Which word has more letters, ""enough"" or ""yours""?
A:",enough,yours,0.45
50,"Q: Which word has more letters, ""mouth"" or ""almost""?
A:",almost,mouth,1.0
51,"Q: Which word has more letters, ""hungry"" or ""the""?
A:",hungry,the,0.7
52,"Q: Which word has more letters, ""family"" or ""upset""?
A:",family,upset,1.0
53,"Q: Which word has more letters, ""twice"" or ""bird""?
A:",twice,bird,1.0
54,"Q: Which word has more letters, ""fish"" or ""daughter""?
A:",daughter,fish,1.0
55,"Q: Which word has more letters, ""yeah"" or ""any""?
A:",yeah,any,0.45
56,"Q: Which word has more letters, ""history"" or ""wine""?
A:",history,wine,0.9
57,"Q: Which word has more letters, ""nose"" or ""explain""?
A:",explain,nose,1.0
58,"Q: Which word has more letters, ""cabinet"" or ""dinosaur""?
A:",dinosaur,cabinet,0.35
59,"Q: Which word has more letters, ""farm"" or ""badly""?
A:",badly,farm,0.8
60,"Q: Which word has more letters, ""slice"" or ""how""?
A:",slice,how,1.0
61,"Q: Which word has more letters, ""board"" or ""country""?
A:",country,board,1.0
62,"Q: Which word has more letters, ""rap"" or ""milk""?
A:",milk,rap,0.6
63,"Q: Which word has more letters, ""discount"" or ""draw""?
A:",discount,draw,1.0
64,"Q: Which word has more letters, ""enjoy"" or ""left""?
A:",enjoy,left,1.0
65,"Q: Which word has more letters, ""single"" or ""must""?
A:",single,must,1.0
66,"Q: Which word has more letters, ""send"" or ""close""?
A:",close,send,0.8
67,"Q: Which word has more letters, ""glad"" or ""finger""?
A:",finger,glad,0.65
68,"Q: Which word has more letters, ""blond"" or ""strong""?
A:",strong,blond,0.45
69,"Q: Which word has more letters, ""toe"" or ""dirty""?
A:",dirty,toe,0.85
70,"Q: Which word has more letters, ""name"" or ""polite""?
A:",polite,name,0.8
71,"Q: Which word has more letters, ""things"" or ""hit""?
A:",things,hit,1.0
72,"Q: Which word has more letters, ""eat"" or ""with""?
A:",with,eat,1.0
73,"Q: Which word has more letters, ""same"" or ""broken""?
A:",broken,same,0.55
