question_id,prompt,correct_answer,correct
1,"Q: Are all the words ""truck"", ""rabbit"", ""dog"", ""goat"", and ""cat"" types of animals? Answer either ""yes"" or ""no"".
A:",False,0.2
2,"Q: Are all the words ""bookcase"", ""truck"", ""desk"", ""sofa"", and ""table"" types of furniture? Answer either ""yes"" or ""no"".
A:",False,0.25
3,"Q: Are all the words ""pear"", ""peach"", ""rabbit"", ""apple"", and ""lemon"" types of fruit? Answer either ""yes"" or ""no"".
A:",False,0.1
4,"Q: Are all the words ""fish"", ""duck"", ""pear"", ""rabbit"", and ""mouse"" types of animals? Answer either ""yes"" or ""no"".
A:",False,0.2
5,"Q: Are all the words ""socks"", ""train"", ""bus"", ""truck"", and ""tram"" types of vehicles? Answer either ""yes"" or ""no"".
A:",False,0.6
6,"Q: Are all the words ""mouse"", ""duck"", ""cat"", ""goat"", and ""fish"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.8
7,"Q: Are all the words ""pear"", ""car"", ""lemon"", ""mango"", and ""pineapple"" types of fruit? Answer either ""yes"" or ""no"".
A:",False,0.3
8,"Q: Are all the words ""train"", ""car"", ""truck"", ""pear"", and ""tram"" types of vehicles? Answer either ""yes"" or ""no"".
A:",False,0.6
9,"Q: Are all the words ""motorcycle"", ""tractor"", ""truck"", ""car"", and ""tram"" types of vehicles? Answer either ""yes"" or ""no"".
A:",True,0.3
10,"Q: Are all the words ""pants"", ""jacket"", ""jeans"", ""skirt"", and ""sweater"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.85
11,"Q: Are all the words ""socks"", ""sweater"", ""jacket"", ""coat"", and ""pants"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.9
12,"Q: Are all the words ""train"", ""truck"", ""car"", ""van"", and ""motorcycle"" types of vehicles? Answer either ""yes"" or ""no"".
A:",True,0.65
13,"Q: Are all the words ""dress"", ""coat"", ""sweater"", ""shorts"", and ""pants"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.75
14,"Q: Are all the words ""mango"", ""watermelon"", ""pear"", ""melon"", and ""strawberry"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.8
15,"Q: Are all the words ""pear"", ""melon"", ""strawberry"", ""banana"", and ""pineapple"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.85
16,"Q: Are all the words ""peach"", ""pineapple"", ""mango"", ""bed"", and ""banana"" types of fruit? Answer either ""yes"" or ""no"".
A:",False,0.2
17,"Q: Are all the words ""desk"", ""sofa"", ""armchair"", ""dress"", and ""bookcase"" types of furniture? Answer either ""yes"" or ""no"".
A:",False,0.2
