question_id,perturbation_id,answer,correct
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,185,yes,True
0,78,yes,True
0,78,yes,True
0,78,,False
0,78,,False
0,78,,False
0,78,yes,True
0,78,yes,True
0,78,yes,True
0,78,yes,True
0,78,no,False
0,78,yes,True
0,78,,False
0,78,,False
0,78,,False
0,78,,False
0,78,,False
0,78,no,False
0,78,no,False
0,78,yes,True
0,78,,False
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,55,yes,True
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,137,,False
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,161,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,no,False
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,15,no,False
0,15,yes,True
0,15,yes,True
0,15,yes,True
0,75,,False
0,75,no,False
0,75,,False
0,75,,False
0,75,no,False
0,75,,False
0,75,,False
0,75,no,False
0,75,,False
0,75,,False
0,75,,False
0,75,no,False
0,75,,False
0,75,no,False
0,75,,False
0,75,no,False
0,75,,False
0,75,,False
0,75,,False
0,75,,False
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,154,yes,True
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,122,,False
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,175,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,158,yes,True
0,42,,False
0,42,yes,True
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,yes,True
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,,False
0,42,yes,True
0,165,yes,True
0,165,yes,True
