question_id,perturbation_id,answer,correct
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,66,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,no,True
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,45,yes,False
1,9,no,True
1,9,no,True
1,9,no,True
1,9,no,True
1,9,no,True
1,9,yes,False
1,9,no,True
1,9,yes,False
1,9,no,True
1,9,no,True
1,9,no,True
1,9,no,True
1,9,no,True
1,9,no,True
1,9,no,True
1,9,no,True
1,9,yes,False
1,9,no,True
1,9,no,True
1,9,no,True
1,73,no,True
1,73,no,True
1,73,yes,False
1,73,no,True
1,73,yes,False
1,73,no,True
1,73,no,True
1,73,no,True
1,73,no,True
1,73,yes,False
1,73,no,True
1,73,yes,False
1,73,yes,False
1,73,no,True
1,73,no,True
1,73,yes,False
1,73,yes,False
1,73,yes,False
1,73,no,True
1,73,yes,False
1,136,no,True
1,136,yes,False
1,136,no,True
1,136,yes,False
1,136,yes,False
1,136,no,True
1,136,no,True
1,136,no,True
1,136,no,True
1,136,yes,False
1,136,no,True
1,136,no,True
1,136,no,True
1,136,no,True
1,136,no,True
1,136,no,True
1,136,yes,False
1,136,yes,False
1,136,no,True
1,136,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,104,no,True
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,205,yes,False
1,247,no,True
1,247,no,True
1,247,yes,False
1,247,yes,False
1,247,no,True
1,247,yes,False
1,247,yes,False
1,247,no,True
1,247,yes,False
1,247,yes,False
1,247,yes,False
1,247,yes,False
1,247,yes,False
1,247,yes,False
1,247,yes,False
1,247,no,True
1,247,no,True
1,247,yes,False
1,247,yes,False
1,247,yes,False
1,125,no,True
1,125,no,True
1,125,yes,False
1,125,no,True
1,125,no,True
1,125,no,True
1,125,no,True
1,125,no,True
1,125,no,True
1,125,no,True
1,125,no,True
1,125,no,True
1,125,yes,False
1,125,no,True
1,125,no,True
1,125,yes,False
1,125,no,True
1,125,no,True
1,125,no,True
1,125,no,True
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,211,yes,False
1,84,yes,False
1,84,no,True
1,84,yes,False
1,84,no,True
1,84,yes,False
1,84,no,True
1,84,no,True
1,84,yes,False
1,84,yes,False
1,84,no,True
1,84,no,True
1,84,no,True
1,84,yes,False
1,84,no,True
1,84,yes,False
1,84,yes,False
1,84,yes,False
1,84,no,True
1,84,yes,False
1,84,no,True
1,33,no,True
1,33,yes,False
1,33,no,True
1,33,yes,False
1,33,yes,False
1,33,no,True
1,33,no,True
1,33,yes,False
1,33,yes,False
1,33,no,True
1,33,yes,False
1,33,no,True
1,33,yes,False
1,33,no,True
1,33,no,True
1,33,yes,False
1,33,yes,False
1,33,no,True
1,33,yes,False
1,33,yes,False
1,254,no,True
1,254,yes,False
1,254,no,True
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,no,True
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,yes,False
1,254,no,True
1,254,yes,False
1,254,yes,False
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,68,no,True
1,68,yes,False
1,68,no,True
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,68,no,True
1,68,yes,False
1,68,no,True
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,68,yes,False
1,46,no,True
1,46,yes,False
1,46,no,True
1,46,no,True
1,46,no,True
1,46,yes,False
1,46,no,True
1,46,yes,False
1,46,yes,False
1,46,yes,False
1,46,yes,False
1,46,yes,False
1,46,yes,False
1,46,yes,False
1,46,yes,False
1,46,no,True
1,46,yes,False
1,46,yes,False
1,46,yes,False
1,46,no,True
1,108,no,True
1,108,no,True
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,yes,False
1,108,no,True
1,108,yes,False
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,6,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,30,no,True
1,101,yes,False
1,101,yes,False
1,101,yes,False
1,101,yes,False
1,101,yes,False
1,101,yes,False
1,101,yes,False
1,101,yes,False
