question_id,prompt,correct_answer,distractor,correct
1,"Q: In an alphabetical order, which of the words ""beach"" and ""silver"" comes first?
A:",beach,silver,1.0
2,"Q: In an alphabetical order, which of the words ""at"" and ""policewoman"" comes first?
A:",at,policewoman,1.0
3,"Q: In an alphabetical order, which of the words ""quarter"" and ""save"" comes first?
A:",quarter,save,0.0
4,"Q: In an alphabetical order, which of the words ""plant"" and ""railroad"" comes first?
A:",plant,railroad,1.0
5,"Q: In an alphabetical order, which of the words ""hockey"" and ""knife"" comes first?
A:",hockey,knife,0.0
6,"Q: In an alphabetical order, which of the words ""may"" and ""motorcycle"" comes first?
A:",may,motorcycle,1.0
7,"Q: In an alphabetical order, which of the words ""for"" and ""afternoon"" comes first?
A:",afternoon,for,0.0
8,"Q: In an alphabetical order, which of the words ""wet"" and ""rest"" comes first?
A:",rest,wet,1.0
9,"Q: In an alphabetical order, which of the words ""slim"" and ""easily"" comes first?
A:",easily,slim,1.0
10,"Q: In an alphabetical order, which of the words ""barbecue"" and ""rent"" comes first?
A:",barbecue,rent,1.0
11,"Q: In an alphabetical order, which of the words ""work"" and ""license"" comes first?
A:",license,work,1.0
12,"Q: In an alphabetical order, which of the words ""extra"" and ""too"" comes first?
A:",extra,too,1.0
13,"Q: In an alphabetical order, which of the words ""immediately"" and ""somewhere"" comes first?
A:",immediately,somewhere,1.0
14,"Q: In an alphabetical order, which of the words ""street"" and ""hurry"" comes first?
A:",hurry,street,0.0
15,"Q: In an alphabetical order, which of the words ""morning"" and ""ship"" comes first?
A:",morning,ship,0.65
16,"Q: In an alphabetical order, which of the words ""sunglasses"" and ""racket"" comes first?
A:",racket,sunglasses,0.0
17,"Q: In an alphabetical order, which of the words ""sunny"" and ""strong"" comes first?
A:",strong,sunny,0.85
18,"Q: In an alphabetical order, which of the words ""nurse"" and ""enter"" comes first?
A:",enter,nurse,1.0
19,"Q: In an alphabetical order, which of the words ""dessert"" and ""circle"" comes first?
A:",circle,dessert,0.0
20,"Q: In an alphabetical order, which of the words ""fresh"" and ""modern"" comes first?
A:",fresh,modern,1.0
21,"Q: In an alphabetical order, which of the words ""south"" and ""my"" comes first?
A:",my,south,0.6
22,"Q: In an alphabetical order, which of the words ""market"" and ""vegetable"" comes first?
A:",market,vegetable,1.0
23,"Q: In an alphabetical order, which of the words ""plane"" and ""bottom"" comes first?
A:",bottom,plane,0.15
24,"Q: In an alphabetical order, which of the words ""lunchtime"" and ""watch"" comes first?
A:",lunchtime,watch,1.0
25,"Q: In an alphabetical order, which of the words ""sport"" and ""country"" comes first?
A:",country,sport,1.0
26,"Q: In an alphabetical order, which of the words ""dress"" and ""just"" comes first?
A:",dress,just,1.0
27,"Q: In an alphabetical order, which of the words ""west"" and ""plus"" comes first?
A:",plus,west,1.0
28,"Q: In an alphabetical order, which of the words ""grass"" and ""last"" comes first?
A:",grass,last,1.0
29,"Q: In an alphabetical order, which of the words ""crowded"" and ""computer"" comes first?
A:",computer,crowded,1.0
30,"Q: In an alphabetical order, which of the words ""ago"" and ""all"" comes first?
A:",ago,all,1.0
31,"Q: In an alphabetical order, which of the words ""cake"" and ""hate"" comes first?
A:",cake,hate,1.0
32,"Q: In an alphabetical order, which of the words ""grilled"" and ""cook"" comes first?
A:",cook,grilled,1.0
33,"Q: In an alphabetical order, which of the words ""opera"" and ""meeting"" comes first?
A:",meeting,opera,0.25
34,"Q: In an alphabetical order, which of the words ""pleasant"" and ""sell"" comes first?
A:",pleasant,sell,1.0
35,"Q: In an alphabetical order, which of the words ""strange"" and ""hurry"" comes first?
A:",hurry,strange,0.0
36,"Q: In an alphabetical order, which of the words ""hotel"" and ""love"" comes first?
A:",hotel,love,1.0
37,"Q: In an alphabetical order, which of the words ""shopping"" and ""theater"" comes first?
A:",shopping,theater,1.0
38,"Q: In an alphabetical order, which of the words ""lemon"" and ""latest"" comes first?
A:",latest,lemon,0.0
39,"Q: In an alphabetical order, which of the words ""remember"" and ""should"" comes first?
A:",remember,should,1.0
40,"Q: In an alphabetical order, which of the words ""comic"" and ""street"" comes first?
A:",comic,street,1.0
41,"Q: In an alphabetical order, which of the words ""directions"" and ""square"" comes first?
A:",directions,square,1.0
42,"Q: In an alphabetical order, which of the words ""waitress"" and ""midnight"" comes first?
A:",midnight,waitress,0.0
43,"Q: In an alphabetical order, which of the words ""question"" and ""boot"" comes first?
A:",boot,question,1.0
44,"Q: In an alphabetical order, which of the words ""gas"" and ""sausage"" comes first?
A:",gas,sausage,1.0
45,"Q: In an alphabetical order, which of the words ""oh"" and ""in"" comes first?
A:",in,oh,0.0
46,"Q: In an alphabetical order, which of the words ""mirror"" and ""lucky"" comes first?
A:",lucky,mirror,1.0
