question_id,prompt,correct_answer,distractor,correct
1,"Q: Which word rhymes with the word ""declare"", ""beer"" or ""wear""?
A:",wear,beer,0.8
2,"Q: Which word rhymes with the word ""together"", ""leather"" or ""neighbor""?
A:",leather,neighbor,0.0
3,"Q: Which word rhymes with the word ""pop"", ""midnight"" or ""crop""?
A:",crop,midnight,1.0
4,"Q: Which word rhymes with the word ""session"", ""skin"" or ""profession""?
A:",profession,skin,0.0
5,"Q: Which word rhymes with the word ""might"", ""write"" or ""swimsuit""?
A:",write,swimsuit,0.0
6,"Q: Which word rhymes with the word ""sort"", ""arrest"" or ""support""?
A:",support,arrest,0.0
7,"Q: Which word rhymes with the word ""jar"", ""broken"" or ""star""?
A:",star,broken,0.2
8,"Q: Which word rhymes with the word ""main"", ""brain"" or ""crossing""?
A:",brain,crossing,0.0
9,"Q: Which word rhymes with the word ""agree"", ""me"" or ""attractive""?
A:",me,attractive,0.2
10,"Q: Which word rhymes with the word ""questionnaire"", ""compare"" or ""ceremony""?
A:",compare,ceremony,1.0
11,"Q: Which word rhymes with the word ""support"", ""short"" or ""knife""?
A:",short,knife,0.0
12,"Q: Which word rhymes with the word ""worst"", ""here"" or ""first""?
A:",first,here,1.0
13,"Q: Which word rhymes with the word ""cigarette"", ""set"" or ""brush""?
A:",set,brush,1.0
14,"Q: Which word rhymes with the word ""nearly"", ""clearly"" or ""fan""?
A:",clearly,fan,1.0
15,"Q: Which word rhymes with the word ""stripe"", ""type"" or ""sensible""?
A:",type,sensible,0.5
16,"Q: Which word rhymes with the word ""vote"", ""note"" or ""only""?
A:",note,only,0.45
17,"Q: Which word rhymes with the word ""piece"", ""ladder"" or ""peace""?
A:",peace,ladder,0.0
18,"Q: Which word rhymes with the word ""punctuation"", ""correct"" or ""population""?
A:",population,correct,0.0
19,"Q: Which word rhymes with the word ""each"", ""speech"" or ""ahead""?
A:",speech,ahead,0.05
20,"Q: Which word rhymes with the word ""sheep"", ""steep"" or ""pear""?
A:",steep,pear,1.0
21,"Q: Which word rhymes with the word ""metal"", ""kettle"" or ""sense""?
A:",kettle,sense,0.0
22,"Q: Which word rhymes with the word ""attend"", ""trend"" or ""bone""?
A:",trend,bone,0.5
23,"Q: Which word rhymes with the word ""disagree"", ""degree"" or ""prince""?
A:",degree,prince,1.0
24,"Q: Which word rhymes with the word ""stranger"", ""switch"" or ""danger""?
A:",danger,switch,0.0
25,"Q: Which word rhymes with the word ""taste"", ""stove"" or ""waste""?
A:",waste,stove,0.85
26,"Q: Which word rhymes with the word ""jam"", ""drama"" or ""tram""?
A:",tram,drama,0.0
27,"Q: Which word rhymes with the word ""sun"", ""president"" or ""run""?
A:",run,president,1.0
28,"Q: Which word rhymes with the word ""sweater"", ""letter"" or ""disgusting""?
A:",letter,disgusting,0.5
29,"Q: Which word rhymes with the word ""deck"", ""check"" or ""professional""?
A:",check,professional,0.15
30,"Q: Which word rhymes with the word ""plain"", ""cabin"" or ""train""?
A:",train,cabin,0.7
31,"Q: Which word rhymes with the word ""sound"", ""surround"" or ""useless""?
A:",surround,useless,0.0
32,"Q: Which word rhymes with the word ""rebuild"", ""grilled"" or ""snowboard""?
A:",grilled,snowboard,0.0
33,"Q: Which word rhymes with the word ""grade"", ""persuade"" or ""mango""?
A:",persuade,mango,1.0
34,"Q: Which word rhymes with the word ""examination"", ""population"" or ""river""?
A:",population,river,0.3
35,"Q: Which word rhymes with the word ""stick"", ""quick"" or ""supper""?
A:",quick,supper,1.0
36,"Q: Which word rhymes with the word ""fee"", ""me"" or ""let""?
A:",me,let,0.0
37,"Q: Which word rhymes with the word ""cold"", ""gold"" or ""clown""?
A:",gold,clown,1.0
38,"Q: Which word rhymes with the word ""dish"", ""example"" or ""fish""?
A:",fish,example,0.0
39,"Q: Which word rhymes with the word ""kettle"", ""metal"" or ""throw""?
A:",metal,throw,0.3
40,"Q: Which word rhymes with the word ""upstairs"", ""downstairs"" or ""perfume""?
A:",downstairs,perfume,0.0
41,"Q: Which word rhymes with the word ""start"", ""these"" or ""depart""?
A:",depart,these,1.0
42,"Q: Which word rhymes with the word ""control"", ""hole"" or ""weigh""?
A:",hole,weigh,1.0
43,"Q: Which word rhymes with the word ""crew"", ""college"" or ""through""?
A:",through,college,0.0
44,"Q: Which word rhymes with the word ""conversation"", ""spider"" or ""station""?
A:",station,spider,0.25
45,"Q: Which word rhymes with the word ""fork"", ""pork"" or ""ordinary""?
A:",pork,ordinary,0.25
46,"Q: Which word rhymes with the word ""kind"", ""blind"" or ""first""?
A:",blind,first,0.0
47,"Q: Which word rhymes with the word ""daughter"", ""water"" or ""wall""?
A:",water,wall,0.55
48,"Q: Which word rhymes with the word ""speed"", ""indeed"" or ""dusty""?
A:",indeed,dusty,1.0
49,"Q: Which word rhymes with the word ""inform"", ""boiled"" or ""storm""?
A:",storm,boiled,0.15
50,"Q: Which word rhymes with the word ""out"", ""silver"" or ""doubt""?
A:",doubt,silver,1.0
51,"Q: Which word rhymes with the word ""diet"", ""quiet"" or ""limit""?
A:",quiet,limit,0.45
52,"Q: Which word rhymes with the word ""steak"", ""awake"" or ""area""?
A:",awake,area,0.0
53,"Q: Which word rhymes with the word ""southwest"", ""breast"" or ""cola""?
A:",breast,cola,0.15
54,"Q: Which word rhymes with the word ""switch"", ""rich"" or ""windshield""?
A:",rich,windshield,0.95
55,"Q: Which word rhymes with the word ""stain"", ""gain"" or ""account""?
A:",gain,account,1.0
56,"Q: Which word rhymes with the word ""pork"", ""fork"" or ""how""?
A:",fork,how,0.0
57,"Q: Which word rhymes with the word ""fight"", ""stand"" or ""flight""?
A:",flight,stand,0.3
58,"Q: Which word rhymes with the word ""successful"", ""lady"" or ""stressful""?
A:",stressful,lady,0.0
59,"Q: Which word rhymes with the word ""home"", ""involve"" or ""comb""?
A:",comb,involve,0.55
60,"Q: Which word rhymes with the word ""reservation"", ""presentation"" or ""girl""?
A:",presentation,girl,0.0
61,"Q: Which word rhymes with the word ""trust"", ""dust"" or ""she""?
A:",dust,she,0.0
62,"Q: Which word rhymes with the word ""teach"", ""peach"" or ""lucky""?
A:",peach,lucky,0.0
63,"Q: Which word rhymes with the word ""professor"", ""mark"" or ""dresser""?
A:",dresser,mark,0.0
64,"Q: Which word rhymes with the word ""whole"", ""goal"" or ""pen""?
A:",goal,pen,0.0
65,"Q: Which word rhymes with the word ""sweet"", ""tasty"" or ""complete""?
A:",complete,tasty,0.0
66,"Q: Which word rhymes with the word ""juice"", ""little"" or ""reduce""?
A:",reduce,little,1.0
67,"Q: Which word rhymes with the word ""anymore"", ""study"" or ""store""?
A:",store,study,0.3
68,"Q: Which word rhymes with the word ""flood"", ""blood"" or ""comedy""?
A:",blood,comedy,1.0
69,"Q: Which word rhymes with the word ""slow"", ""ago"" or ""together""?
A:",ago,together,0.0
70,"Q: Which word rhymes with the word ""transportation"", ""imagination"" or ""miss""?
A:",imagination,miss,0.0
71,"Q: Which word rhymes with the word ""week"", ""baseball"" or ""antique""?
A:",antique,baseball,0.0
72,"Q: Which word rhymes with the word ""name"", ""shampoo"" or ""blame""?
A:",blame,shampoo,0.0
73,"Q: Which word rhymes with the word ""dive"", ""alive"" or ""begin""?
A:",alive,begin,0.0
74,"Q: Which word rhymes with the word ""rarely"", ""smoking"" or ""fairly""?
A:",fairly,smoking,1.0
75,"Q: Which word rhymes with the word ""daughter"", ""expert"" or ""water""?
A:",water,expert,1.0
76,"Q: Which word rhymes with the word ""dog"", ""blog"" or ""animated""?
A:",blog,animated,0.55
77,"Q: Which word rhymes with the word ""fly"", ""chocolate"" or ""nearby""?
A:",nearby,chocolate,0.0
78,"Q: Which word rhymes with the word ""unkind"", ""remind"" or ""plus""?
A:",remind,plus,0.0
79,"Q: Which word rhymes with the word ""spy"", ""try"" or ""frame""?
A:",try,frame,0.4
80,"Q: Which word rhymes with the word ""fax"", ""northwest"" or ""tax""?
A:",tax,northwest,1.0
81,"Q: Which word rhymes with the word ""pronounce"", ""clap"" or ""bounce""?
A:",bounce,clap,0.4
82,"Q: Which word rhymes with the word ""peak"", ""wool"" or ""cheek""?
A:",cheek,wool,0.9
83,"Q: Which word rhymes with the word ""career"", ""souvenir"" or ""walking""?
A:",souvenir,walking,0.0
84,"Q: Which word rhymes with the word ""year"", ""souvenir"" or ""rescue""?
A:",souvenir,rescue,1.0
85,"Q: Which word rhymes with the word ""stick"", ""steep"" or ""trick""?
A:",trick,steep,0.0
86,"Q: Which word rhymes with the word ""friend"", ""reservation"" or ""recommend""?
A:",recommend,reservation,0.0
87,"Q: Which word rhymes with the word ""cave"", ""voice"" or ""brave""?
A:",brave,voice,0.0
88,"Q: Which word rhymes with the word ""money"", ""iron"" or ""sunny""?
A:",sunny,iron,0.0
89,"Q: Which word rhymes with the word ""location"", ""station"" or ""visit""?
A:",station,visit,0.1
90,"Q: Which word rhymes with the word ""boy"", ""bathroom"" or ""destroy""?
A:",destroy,bathroom,1.0
91,"Q: Which word rhymes with the word ""sandy"", ""successful"" or ""candy""?
A:",candy,successful,1.0
92,"Q: Which word rhymes with the word ""take"", ""awake"" or ""anymore""?
A:",awake,anymore,0.0
93,"Q: Which word rhymes with the word ""drink"", ""kitchen"" or ""link""?
A:",link,kitchen,1.0
94,"Q: Which word rhymes with the word ""see"", ""clock"" or ""knee""?
A:",knee,clock,0.0
