question_id,answer,correct
1,beach,True
1,beach,True
1,,False
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,beach,True
1,,False
1,,False
1,beach,True
1,,False
1,beach,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
2,at,True
3,,False
3,save,False
3,quarter,True
3,,False
3,save,False
3,save,False
3,save,False
3,save,False
3,,False
3,,False
3,quarter,True
3,quarter,True
3,,False
3,quarter,True
3,quarter,True
3,,False
3,,False
3,save,False
3,,False
3,,False
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
4,plant,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
5,hockey,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
6,may,True
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
7,for,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
8,wet,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
9,slim,False
10,barbecue,True
10,barbecue,True
10,barbecue,True
10,barbecue,True
10,,False
10,,False
10,,False
10,barbecue,True
10,barbecue,True
10,,False
10,barbecue,True
10,barbecue,True
10,barbecue,True
10,barbecue,True
10,barbecue,True
10,,False
10,,False
10,barbecue,True
10,,False
10,,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
11,work,False
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
12,extra,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
13,immediately,True
14,street,False
14,street,False
14,hurry,True
14,,False
14,street,False
14,street,False
14,street,False
14,street,False
14,hurry,True
14,street,False
14,street,False
14,hurry,True
14,street,False
14,street,False
14,street,False
14,street,False
14,,False
14,street,False
14,street,False
14,street,False
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,,False
15,morning,True
15,morning,True
15,morning,True
15,ship,False
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,morning,True
15,morning,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
16,racket,True
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
17,sunny,False
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
18,enter,True
19,circle,True
19,circle,True
19,circle,True
19,dessert,False
19,dessert,False
19,circle,True
19,circle,True
19,dessert,False
19,circle,True
19,circle,True
19,dessert,False
19,dessert,False
19,dessert,False
19,circle,True
19,circle,True
19,circle,True
19,circle,True
19,dessert,False
19,circle,True
19,circle,True
20,,False
20,fresh,True
20,fresh,True
20,fresh,True
20,fresh,True
20,fresh,True
20,fresh,True
20,fresh,True
20,,False
20,,False
20,fresh,True
20,fresh,True
20,,False
20,fresh,True
20,fresh,True
20,fresh,True
20,,False
20,fresh,True
20,fresh,True
20,fresh,True
21,my,True
21,my,True
21,my,True
21,my,True
21,my,True
21,my,True
21,my,True
21,,False
21,my,True
21,,False
21,my,True
21,,False
21,my,True
21,,False
21,,False
21,my,True
21,,False
21,my,True
21,my,True
21,my,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
22,market,True
23,plane,False
23,plane,False
23,plane,False
23,plane,False
23,plane,False
23,,False
23,plane,False
23,plane,False
23,plane,False
23,bottom,True
23,plane,False
23,bottom,True
23,bottom,True
23,bottom,True
23,plane,False
23,plane,False
23,,False
23,plane,False
23,bottom,True
23,bottom,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
24,lunchtime,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
25,country,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
26,dress,True
