question_id,perturbation_id,prompt,correct_answer,correct
0,19,"Q: Can you recommend a movie similar to The Mask, Batman, The Fugitive, Pretty Woman?
Choose from the following options:
(A) Maelstrom
(B) Lamerica
(C) The Lion King
(D) The Front Page
A:",(C),0.8
0,42,"Q: Can you recommend a movie similar to the following titles: The Fugitive, Pretty Woman, Batman, The Mask? Here are some options:
(A) The Front Page
(B) The Lion King
(C) Lamerica
(D) Maelstrom
A:",(B),0.4
0,78,"I need your help to find movies that are similar to The Fugitive, Batman, Pretty Woman, The Mask. Please choose from the following options: (A) The Lion King
(B) Maelstrom
(C) The Front Page
(D) Lamerica.",(A),0.0
0,145,"Based on your movie preferences, we can recommend similar movies for you to watch. We'll provide you with a list of options, and you can select the one that you think is the most similar to your original choice. 
Original movie: Pretty Woman, Batman, The Fugitive, The Mask
Options:
(A) The Lion King
(B) Maelstrom
(C) The Front Page
(D) Lamerica
Output:",(A),1.0
0,153,"Given a list of movies, recommend a movie that is most similar to the given list. Select the option that you think is the best match.
List of movies: The Fugitive, Pretty Woman, The Mask, Batman
Options:
(A) The Lion King
(B) Lamerica
(C) Maelstrom
(D) The Front Page
Output:",(A),0.0
1,42,"Q: Can you recommend a movie similar to the following titles: The Shawshank Redemption, Forrest Gump, The Matrix, The Sixth Sense? Here are some options:
(A) Terminator 2 Judgment Day
(B) Street Fighter II The Animated Movie
(C) The Sheltering Sky
(D) The Boy Who Could Fly
A:",(A),1.0
1,61,"You are given a list of movies Forrest Gump, The Shawshank Redemption, The Matrix, The Sixth Sense. Please suggest a movie that is similar to them from the following options: (A) The Sheltering Sky
(B) Terminator 2 Judgment Day
(C) Street Fighter II The Animated Movie
(D) The Boy Who Could Fly.",(B),0.8
1,113,"Given a list of movies, recommend a movie that is most similar to the given list. You will be presented with a multi-choice format where you must select the movie that is most similar to the given list.
List of movies: Forrest Gump, The Matrix, The Sixth Sense, The Shawshank Redemption
Options:
(A) Terminator 2 Judgment Day
(B) The Boy Who Could Fly
(C) The Sheltering Sky
(D) Street Fighter II The Animated Movie
Output:",(A),1.0
1,138,"Given a list of movies The Matrix, The Shawshank Redemption, The Sixth Sense, Forrest Gump, recommend a movie similar to the given list by selecting one of the options provided in (A) The Sheltering Sky
(B) Terminator 2 Judgment Day
(C) The Boy Who Could Fly
(D) Street Fighter II The Animated Movie.
Output:
Recommended movie:",(B),1.0
1,171,"Given a list of movies, recommend a similar movie from a set of options.
Movie list: Forrest Gump, The Shawshank Redemption, The Sixth Sense, The Matrix
Options:
(A) Street Fighter II The Animated Movie
(B) The Boy Who Could Fly
(C) Terminator 2 Judgment Day
(D) The Sheltering Sky
Output:
Recommended movie:",(C),0.8
2,14,"Q: Can you recommend a movie similar to Schindler's List, The Silence of the Lambs, Braveheart, Tombstone from the following options?
Options:
(A) Orlando
(B) Forrest Gump
(C) All the Real Girls
(D) Guilty of Romance
A:",(B),0.8
2,22,"Q: Can you suggest a movie similar to Braveheart, Tombstone, Schindler's List, The Silence of the Lambs? Choose from the following options:
Options:
(A) Guilty of Romance
(B) Forrest Gump
(C) Orlando
(D) All the Real Girls
A:",(B),1.0
2,105,"Recommend movies similar to a given list of movies. You will be presented with a list of options, and you must select the option that is most similar to the given list of movies.
Given list of movies: Braveheart, Schindler's List, The Silence of the Lambs, Tombstone
Options:
(A) Forrest Gump
(B) Guilty of Romance
(C) Orlando
(D) All the Real Girls
Output:",(A),0.8
2,116,"Recommend a movie similar to a given list of movies. You must select the movie that is most similar to the given list of movies.
Given the list of movies Tombstone, Braveheart, Schindler's List, The Silence of the Lambs, recommend a movie that is similar to this list.
Options:
(A) All the Real Girls
(B) Orlando
(C) Forrest Gump
(D) Guilty of Romance
Output:",(C),0.6
2,152,"Given a list of movies, recommend a movie that is most similar to the given list. Choose the correct option from a list of movies provided as choices.
List of movies: The Silence of the Lambs, Tombstone, Braveheart, Schindler's List
Options:
(A) Guilty of Romance
(B) Forrest Gump
(C) Orlando
(D) All the Real Girls
Output:",(B),1.0
4,32,"Q: Can you recommend a movie that is similar to the following Braveheart, The Fugitive, Batman, The Mask:
Options:
(A) Once Upon a Time in America
(B) Schindler's List
(C) Club Dread
(D) George Washington
A:",(B),0.0
4,45,"Q: Can you recommend a movie similar to the following The Mask, Batman, The Fugitive, Braveheart?
Choose from the following options:
(A) Schindler's List
(B) George Washington
(C) Once Upon a Time in America
(D) Club Dread
A:",(A),0.8
4,63,"Please find a movie that is similar to Batman, Braveheart, The Mask, The Fugitive from the following options: (A) Once Upon a Time in America
(B) Club Dread
(C) George Washington
(D) Schindler's List.",(D),0.0
4,69,"Based on the list of movies Batman, The Fugitive, The Mask, Braveheart, suggest a movie that is similar.
Choose from the following options: (A) Schindler's List
(B) Once Upon a Time in America
(C) George Washington
(D) Club Dread",(A),1.0
4,111,"Given a list of movies, recommend a movie that is most similar to the given list. You will be provided with a list of movies as options, and you must choose the movie that is most similar to the given list.
List of movies: The Mask, The Fugitive, Batman, Braveheart
Options:
(A) Club Dread
(B) Schindler's List
(C) Once Upon a Time in America
(D) George Washington
Output:",(B),1.0
5,49,"I need a recommendation for a movie that is similar to The Silence of the Lambs, The Fugitive, Heat, Forrest Gump. You can choose from the following options: (A) Independence Day
(B) Death Race 2
(C) Cannonball Run II
(D) Slumber Party Massacre II.",(A),0.8
5,53,"Your task is to find a movie that is similar to Forrest Gump, Heat, The Silence of the Lambs, The Fugitive. You will be given a list of options to choose from: (A) Death Race 2
(B) Cannonball Run II
(C) Independence Day
(D) Slumber Party Massacre II.",(C),1.0
5,54,"The task is to recommend a movie that is similar to The Fugitive, Forrest Gump, The Silence of the Lambs, Heat. You will be presented with a list of options to choose from: (A) Independence Day
(B) Cannonball Run II
(C) Death Race 2
(D) Slumber Party Massacre II.",(A),0.8
