question_id,perturbation_id,answer,correct
1,27,beer,False
1,27,beer,False
1,27,wear,True
1,27,beer,False
1,27,beer,False
1,27,wear,True
1,27,beer,False
1,27,beer,False
1,27,wear,True
1,27,beer,False
1,27,wear,True
1,27,beer,False
1,27,beer,False
1,27,beer,False
1,27,beer,False
1,27,beer,False
1,27,beer,False
1,27,beer,False
1,27,beer,False
1,27,wear,True
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,6,beer,False
1,98,,False
1,98,beer,False
1,98,beer,False
1,98,,False
1,98,beer,False
1,98,beer,False
1,98,,False
1,98,beer,False
1,98,beer,False
1,98,beer,False
1,98,,False
1,98,beer,False
1,98,beer,False
1,98,,False
1,98,,False
1,98,,False
1,98,beer,False
1,98,beer,False
1,98,beer,False
1,98,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,114,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,109,beer,False
1,177,beer,False
1,177,beer,False
1,177,wear,True
1,177,wear,True
1,177,wear,True
1,177,wear,True
1,177,beer,False
1,177,wear,True
1,177,wear,True
1,177,wear,True
1,177,wear,True
1,177,wear,True
1,177,beer,False
1,177,wear,True
1,177,wear,True
1,177,beer,False
1,177,beer,False
1,177,beer,False
1,177,beer,False
1,177,wear,True
