question_id,perturbation_id,prompt,correct_answer,correct
1,6,"Can animals be used to classify all the ""truck"", ""goat"", ""rabbit"", ""dog"", ""cat"" provided? Respond with either ""yes"" or ""no"".",False,0.0
1,9,"Can animals be used to describe all the ""dog"", ""cat"", ""rabbit"", ""truck"", ""goat"" provided? Please respond with a simple ""yes"" or ""no"".",False,0.0
1,30,"Please indicate whether all the ""goat"", ""truck"", ""rabbit"", ""cat"", ""dog"" provided belong to the specified animals by answering with a simple 'yes' or 'no'.",False,0.0
1,33,"Please indicate whether all the ""dog"", ""rabbit"", ""goat"", ""truck"", ""cat"" belong to the animals by answering with a simple 'yes' or 'no'.",False,0.45
1,45,"Please determine whether the list [""dog"", ""cat"", ""truck"", ""goat"", ""rabbit""] exclusively consists of animals. Respond with a simple 'yes' or 'no'.",False,0.15
1,46,"Please determine if the list [""dog"", ""rabbit"", ""cat"", ""goat"", ""truck""] exclusively consists of animals. Respond with a simple ""yes"" or ""no"".",False,0.0
1,55,"Can we say that ""dog"", ""rabbit"", ""goat"", ""cat"", ""truck"" are all part of the animals animals? Please answer with either 'yes' or 'no'.",False,0.0
1,66,"Q: Are all the ""truck"", ""cat"", ""goat"", ""dog"", ""rabbit"" in the set ""truck"", ""cat"", ""goat"", ""dog"", ""rabbit"" part of the animals animals? Please answer with either 'yes' or 'no'.",False,0.0
1,68,"Q: Are all the ""rabbit"", ""truck"", ""dog"", ""cat"", ""goat"" in ""rabbit"", ""truck"", ""dog"", ""cat"", ""goat"" considered to be animals? Please answer with either 'yes' or 'no'.",False,0.3
1,73,"Q: Are all the ""dog"", ""rabbit"", ""cat"", ""truck"", ""goat"" in ""dog"", ""rabbit"", ""cat"", ""truck"", ""goat"" representative of the animals animals? Please answer with either 'yes' or 'no'.",False,0.0
1,84,"Are ""truck"", ""goat"", ""dog"", ""cat"", ""rabbit"" all considered to be part of the animals animals? Please answer with either 'yes' or 'no'.",False,0.0
1,101,"Q: Are all the ""cat"", ""rabbit"", ""dog"", ""goat"", ""truck"" in the list [""cat"", ""rabbit"", ""dog"", ""goat"", ""truck""] part of the animals animals? Please answer with either 'yes' or 'no'.",False,0.0
1,104,"Q: Are all of the ""truck"", ""rabbit"", ""goat"", ""cat"", ""dog"" listed [""truck"", ""rabbit"", ""goat"", ""cat"", ""dog""] part of the animals animals? Respond with either 'yes' or 'no'.",False,0.0
1,108,"Please indicate whether all the ""truck"", ""rabbit"", ""cat"", ""dog"", ""goat"" in the set ""truck"", ""rabbit"", ""cat"", ""dog"", ""goat"" are classified as animals. Your answer should be either 'yes' or 'no'.",False,0.0
1,125,"Is it true that all the ""rabbit"", ""goat"", ""cat"", ""dog"", ""truck"" in the set ""rabbit"", ""goat"", ""cat"", ""dog"", ""truck"" pertain to the animals of animals? Please respond with either 'yes' or 'no'.",False,0.0
1,136,"Q: Is every word in the list ""rabbit"", ""goat"", ""truck"", ""cat"", ""dog"" classified as animals? Please answer with either 'yes' or 'no'.",False,0.45
1,205,"
Determine if all the ""rabbit"", ""cat"", ""dog"", ""goat"", ""truck"" in the given list belong to a certain animals. The animals is specified by the keyword animals, and the list of ""rabbit"", ""cat"", ""dog"", ""goat"", ""truck"" is specified by the keyword ""rabbit"", ""cat"", ""dog"", ""goat"", ""truck"". Answer 'yes' if all ""rabbit"", ""cat"", ""dog"", ""goat"", ""truck"" belong to the animals, and 'no' otherwise.
Category: animals
Words: ""rabbit"", ""cat"", ""dog"", ""goat"", ""truck""
Output:",False,1.0
1,211,"
Given a list of ""truck"", ""dog"", ""cat"", ""goat"", ""rabbit"" ""truck"", ""dog"", ""cat"", ""goat"", ""rabbit"", determine whether all the ""truck"", ""dog"", ""cat"", ""goat"", ""rabbit"" belong to the animals animals. Respond with 'yes' if all the ""truck"", ""dog"", ""cat"", ""goat"", ""rabbit"" belong to the animals, and 'no' otherwise.
""truck"", ""dog"", ""cat"", ""goat"", ""rabbit"": ""truck"", ""dog"", ""cat"", ""goat"", ""rabbit""
animals: animals
Output:",False,0.0
1,247,"
Determine if a set of ""dog"", ""truck"", ""cat"", ""rabbit"", ""goat"" belong to a certain animals. Please answer 'yes' or 'no'. The animals is specified by the keyword animals and the ""dog"", ""truck"", ""cat"", ""rabbit"", ""goat"" are specified by the keyword ""dog"", ""truck"", ""cat"", ""rabbit"", ""goat"". 
Category: animals
Words: ""dog"", ""truck"", ""cat"", ""rabbit"", ""goat""
Output:",False,0.0
1,254,"
Determine if a set of ""dog"", ""goat"", ""cat"", ""rabbit"", ""truck"" belong to a specific animals. The animals is specified by the keyword animals, and the set of ""dog"", ""goat"", ""cat"", ""rabbit"", ""truck"" is specified by the keyword ""dog"", ""goat"", ""cat"", ""rabbit"", ""truck"". Respond with either 'yes' or 'no'.
Category: animals
Words: ""dog"", ""goat"", ""cat"", ""rabbit"", ""truck""
Output:",False,0.0
15,36,"Please indicate whether all of the following ""melon"", ""pear"", ""pineapple"", ""banana"", ""strawberry"" belong to the fruit of fruit by responding with a 'yes' or 'no'.",True,0.0
15,44,"Please determine if the list [""melon"", ""pear"", ""strawberry"", ""pineapple"", ""banana""] exclusively consists of fruit. Respond with a simple 'yes' or 'no'.",True,0.2
15,51,"Do all the ""strawberry"", ""pear"", ""melon"", ""pineapple"", ""banana"" in the list [""strawberry"", ""pear"", ""melon"", ""pineapple"", ""banana""] belong to the fruit of fruit? Please answer with either 'yes' or 'no'.",True,1.0
15,58,"Do all of the ""banana"", ""melon"", ""pear"", ""strawberry"", ""pineapple"" in the list ""banana"", ""melon"", ""pear"", ""strawberry"", ""pineapple"" fall under the fruit of fruit? Please answer 'yes' or 'no'.",True,0.35
15,70,"Q: Are all the ""melon"", ""pear"", ""banana"", ""pineapple"", ""strawberry"" in ""melon"", ""pear"", ""banana"", ""pineapple"", ""strawberry"" classified under the fruit of fruit? Please answer with either 'yes' or 'no'.",True,1.0
15,74,"Q: Does the set of ""pear"", ""strawberry"", ""pineapple"", ""melon"", ""banana"" ""pear"", ""strawberry"", ""pineapple"", ""melon"", ""banana"" belong to the fruit fruit? Please answer with either 'yes' or 'no'.",True,1.0
15,87,"Are all the ""banana"", ""pear"", ""pineapple"", ""melon"", ""strawberry"" in the set ""banana"", ""pear"", ""pineapple"", ""melon"", ""strawberry"" classified under fruit? Please answer with either 'yes' or 'no'.",True,0.0
15,125,"Is it true that all the ""melon"", ""banana"", ""pineapple"", ""pear"", ""strawberry"" in the set ""melon"", ""banana"", ""pineapple"", ""pear"", ""strawberry"" pertain to the fruit of fruit? Please respond with either 'yes' or 'no'.",True,0.0
15,133,"Does the list [""melon"", ""pear"", ""pineapple"", ""strawberry"", ""banana""] exclusively contain ""melon"", ""pear"", ""pineapple"", ""strawberry"", ""banana"" that are classified as fruit? Please respond with either 'yes' or 'no'.",True,1.0
15,150,"Do all the ""banana"", ""strawberry"", ""melon"", ""pear"", ""pineapple"" in the set ""banana"", ""strawberry"", ""melon"", ""pear"", ""pineapple"" represent the fruit fruit? Please answer with either 'yes' or 'no'.",True,0.6
15,155,"Please indicate whether all of the ""banana"", ""pear"", ""strawberry"", ""melon"", ""pineapple"" in the set ""banana"", ""pear"", ""strawberry"", ""melon"", ""pineapple"" are of the fruit fruit. You may answer with either 'yes' or 'no'.",True,0.25
15,156,"Is it true that all of the ""banana"", ""strawberry"", ""melon"", ""pear"", ""pineapple"" in the set ""banana"", ""strawberry"", ""melon"", ""pear"", ""pineapple"" fall under the fruit of fruit? Please respond with either 'yes' or 'no'.",True,0.0
15,163,"Q: Are all of the ""pear"", ""banana"", ""strawberry"", ""melon"", ""pineapple"" in the set ""pear"", ""banana"", ""strawberry"", ""melon"", ""pineapple"" classified as fruit? Please respond with either 'yes' or 'no'.",True,1.0
15,171,"Are all the ""pear"", ""pineapple"", ""strawberry"", ""melon"", ""banana"" in ""pear"", ""pineapple"", ""strawberry"", ""melon"", ""banana"" categorized as fruit? Please answer with either 'yes' or 'no'.",True,0.0
15,200,"
Given a list of ""pineapple"", ""pear"", ""melon"", ""banana"", ""strawberry"", determine if they belong to a certain fruit. Respond with ""yes"" or ""no"" based on the following phrasings of the question:
- Do all of the ""pineapple"", ""pear"", ""melon"", ""banana"", ""strawberry"" belong to the fruit?
- Are any of the ""pineapple"", ""pear"", ""melon"", ""banana"", ""strawberry"" not in the fruit?
- Is the entire list in the fruit?
- Is there at least one word in the fruit?
List of ""pineapple"", ""pear"", ""melon"", ""banana"", ""strawberry"": ""pineapple"", ""pear"", ""melon"", ""banana"", ""strawberry""
Category: fruit
Output:",True,1.0
15,211,"
Given a list of ""melon"", ""pineapple"", ""banana"", ""pear"", ""strawberry"" ""melon"", ""pineapple"", ""banana"", ""pear"", ""strawberry"", determine whether all the ""melon"", ""pineapple"", ""banana"", ""pear"", ""strawberry"" belong to the fruit fruit. Respond with 'yes' if all the ""melon"", ""pineapple"", ""banana"", ""pear"", ""strawberry"" belong to the fruit, and 'no' otherwise.
""melon"", ""pineapple"", ""banana"", ""pear"", ""strawberry"": ""melon"", ""pineapple"", ""banana"", ""pear"", ""strawberry""
fruit: fruit
Output:",True,1.0
15,217,"
Please determine if all the ""melon"", ""banana"", ""strawberry"", ""pineapple"", ""pear"" in the list ""melon"", ""banana"", ""strawberry"", ""pineapple"", ""pear"" belong to the fruit fruit. Your answer should be either 'yes' or 'no'. Please provide a detailed explanation for your answer using rich and sophisticated language.
Category: fruit
Words: ""melon"", ""banana"", ""strawberry"", ""pineapple"", ""pear""
Answer: 
Explanation:",True,1.0
15,238,"
Determine if a list of ""strawberry"", ""pear"", ""melon"", ""pineapple"", ""banana"" belongs to a specific fruit.
List of ""strawberry"", ""pear"", ""melon"", ""pineapple"", ""banana"": ""strawberry"", ""pear"", ""melon"", ""pineapple"", ""banana""
Category: fruit
Output:",True,1.0
