question_id,perturbation_id,prompt,correct_answer,distractor,correct
1,9,"Which word comes first in alphabetical order between ""beach"" and ""silver""?",beach,silver,1.0
1,15,"Which of the two given words, ""silver"" or ""beach"", appears first in alphabetical order?",beach,silver,0.6
1,19,"Which of the two words ""silver"" and ""beach"" appears first in alphabetical order?",beach,silver,1.0
1,24,"Which word, ""silver"" or ""beach"", is first in alphabetical order?",beach,silver,0.4
1,30,"Arrange the words ""silver"" and ""beach"" in alphabetical order and provide the word that comes first.",beach,silver,0.7
1,55,"Determine which word comes first in alphabetical order: ""beach"" or ""silver""",beach,silver,1.0
1,69,"Out of ""silver"" and ""beach"", which word would come first if you were to list them in alphabetical order?",beach,silver,0.55
1,93,"Out of ""silver"" and ""beach"", which comes first when arranged in alphabetical order?",beach,silver,0.6
1,109,"Which of the words ""silver"" and ""beach"" comes first alphabetically?",beach,silver,0.0
1,112,"Of the words ""beach"" and ""silver"", which word comes first in alphabetical order? Please use your refined vocabulary to provide your answer.",beach,silver,0.65
1,127,"Which word comes first in alphabetical order, ""silver"" or ""beach""?",beach,silver,0.8
1,147,"Please determine which of the words ""beach"" and ""silver"" comes first in alphabetical order.",beach,silver,1.0
1,180,"Please determine which word comes first in the alphabet between two given words.
Word 1: ""beach""
Word 2: ""silver""
Output:",beach,silver,1.0
1,196,"Please compare the two words alphabetically and determine which one comes first.
Word 1: ""beach""
Word 2: ""silver""
Output:",beach,silver,0.35
1,201,"Which comes first, ""beach"" or ""silver""?
Output:",beach,silver,1.0
1,206,"Please provide the word that comes first alphabetically out of two given words.
Word 1: ""beach""
Word 2: ""silver""
Output word:",beach,silver,1.0
1,213,"Write a sentence that compares two words and determines which one comes first in alphabetical order.
Compare the words ""silver"" and ""beach"".
Sentence:",beach,silver,0.0
1,224,"Write a program that determines which of two given words comes first alphabetically. Your program should take two words as input and output the word that comes first in alphabetical order.
Word 1: ""beach""
Word 2: ""silver""
Output:",beach,silver,1.0
1,225,"Write a program that determines which of two given words comes first alphabetically. Your program should take two strings as input and output the string that comes first alphabetically.
Word 1: ""beach""
Word 2: ""silver""
Output word:",beach,silver,1.0
1,227,"Compare two words alphabetically and determine which one comes first.
Word 1: ""beach""
Word 2: ""silver""
Output:",beach,silver,0.2
15,7,"Which word comes first in alphabetical order - ""morning"" or ""ship""?",morning,ship,1.0
15,30,"Arrange the words ""ship"" and ""morning"" in alphabetical order and provide the word that comes first.",morning,ship,0.7
15,43,"Which of the two words, ""morning"" and ""ship"", comes first when arranged in alphabetical order?",morning,ship,0.8
15,54,"Which of the words ""morning"" and ""ship"" comes first alphabetically?",morning,ship,0.8
15,59,"Which word would come first if you sorted ""ship"" and ""morning"" in alphabetical order?",morning,ship,0.0
15,60,"Determine which of the words ""ship"" and ""morning"" comes first when arranged in alphabetical order.",morning,ship,0.0
15,80,"For which word comes first when ordered alphabetically out of ""morning"" and ""ship"", which could it be?",morning,ship,1.0
15,84,"Which word comes first in alphabetical order - ""ship"" or ""morning""?",morning,ship,0.25
15,91,"If ""ship"" and ""morning"" were to be ordered alphabetically, which one comes first?",morning,ship,0.0
15,92,"Which one precedes the other in alphabetical order: ""ship"" or ""morning""?",morning,ship,0.1
